News Title,Publisher name,Image url,Publisher image url,Publisher rectangle url,Updated,Link
Langkawi ferry service increased to 5 trips a day from Jan 9,New Straits Times,https://image.luminews.my/1rs1a20qjrmk3jspgrajg0d3n44h,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,4 days ago,https://www.nst.com.my/news/nation/2023/01/867084/langkawi-ferry-service-increased-5-trips-day-jan-9
NPRA bans two cosmetic products found to contain scheduled poison,Sinar Daily,https://image.luminews.my/0zqovsri90rerfx2qlu85w0tewjp,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,4 days ago,https://www.sinardaily.my/article/187632/malaysia/national/npra-bans-two-cosmetic-products-found-to-contain-scheduled-poison
NZ won’t require Chinese arrivals to show Covid-19 test,FMT News,https://image.luminews.my/xgsqmszfpzbrkwul53dqm8x77iiw,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,4 days ago,https://www.freemalaysiatoday.com/category/world/2023/01/04/nz-wont-require-chinese-arrivals-to-show-covid-19-test/
"SOP for govt’s SMS broadcast to be reviewed, says Teo",FMT News,https://image.luminews.my/qjj2hatp5bwf8qg94q2d7lnm5l8u,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,5 days ago,https://www.freemalaysiatoday.com/category/nation/2023/01/04/sop-for-govts-sms-broadcast-to-be-reviewed-says-teo/
Woman Cries At Her Mother's Wedding After She Marries Her Ex-Boyfriend,SAYS,https://image.luminews.my/jdzvyk8f1kigp41r4sqb4o7g3y5l,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,5 days ago,https://says.com/my/news/woman-cries-at-her-mother-s-wedding-after-she-marries-her-ex-bf
"""This Is Nothing"" – Father Forgives Coach Who Slapped Teen Daughter In Viral Video",SAYS,https://image.luminews.my/zl301tskkg8usmiymaeu8fkvgrf4,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,5 days ago,https://says.com/my/sports/father-forgives-volleyball-coach-for-slapping-his-daughter-because-it-is-normal
Revealing' Outfit Gets Instagram Influencer Stopped At Universal Studios Entrance,SAYS,https://image.luminews.my/i4oh1fxldonx7ho23dft8kwzl1z1,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,5 days ago,https://says.com/my/entertainment/revealing-outfit-shunicorn-not-allowed-enter-universal-studios-japan
Beijing slams ‘unacceptable’ Covid curbs on travellers from China,FMT News,https://image.luminews.my/qen37q00y6af1ralffam7vjiuo06,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,5 days ago,https://www.freemalaysiatoday.com/category/world/2023/01/04/beijing-slams-unacceptable-covid-curbs-on-travellers-from-china/
Tiong resigns as Timberwell MD,New Straits Times,https://image.luminews.my/jo3ky7ostfasl3fa28w38nltdky1,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,5 days ago,https://www.nst.com.my/news/nation/2023/01/867007/tiong-resigns-timberwell-md
Australia overrules medical advice on Covid tests for China arrivals; Thailand prepares for millions of Chinese tourists,South China Morning Post,https://image.luminews.my/yx60j6yb0tbgywxyjkigf73y4p3y,https://image.luminews.my/c1tb5x8fn5j5brchdqsuv6j5x6ta,https://image.luminews.my/acu9yvbwmw6sfidwnyokt3n5t5rl,5 days ago,https://www.scmp.com/news/asia/australasia/article/3205494/australia-overrules-medical-advice-covid-tests-china-arrivals-thailand-prepares-millions-chinese?utm_source=rss_feed
"Former astronaut Cunningham, member of first crewed Apollo flight, dies at age 90",New Straits Times,https://image.luminews.my/9rl3frk3a91jgykn112hr2bvvygk,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,5 days ago,https://www.nst.com.my/world/world/2023/01/866999/former-astronaut-cunningham-member-first-crewed-apollo-flight-dies-age-90
